ValdezD_18R_Governor,WhiteD_18R_Governor,X18R_Governor_abstain,BCVAP_2018,HCVAP_2018,WCVAP_2018,OCVAP_2018,X18R_Governor_CVAP
5,12,809,73,569,182,2,0
19,9,2107,171,1167,715,82,0
15,37,1612,15,435,1210,4,0
0,0,0,0,0,0,0,0
35,25,1583,34,878,687,44,0
33,24,1755,121,1061,616,14,0
32,38,1862,90,1307,504,31,0
3,1,32,4,16,12,4,0
41,53,4498,312,3028,1163,89,0
56,35,1309,70,514,774,42,0
0,0,0,0,0,0,0,0
26,5,863,0,870,24,0,0
1,0,65,0,63,3,0,0
5,4,0,0,0,0,0,9
12,5,432,12,150,276,11,0
9,2,816,3,499,325,0,0
20,15,2394,145,1085,867,332,0
18,3,2355,135,1231,812,198,0
26,26,631,23,365,292,3,0
38,18,5991,531,3421,1832,263,0
23,11,2103,155,1572,371,39,0
56,30,3007,239,1618,1091,145,0
35,17,3083,57,2860,214,4,0
0,0,0,0,0,0,0,0
29,23,2492,101,1520,754,169,0
4,5,541,22,244,266,18,0
0,0,2,0,1,1,0,0
6,14,407,28,198,200,1,0
17,19,2474,315,1255,855,85,0
12,10,1081,35,684,372,12,0
36,27,3854,264,2126,1364,163,0
35,39,1196,30,886,331,23,0
30,32,2150,7,1492,663,50,0
28,15,2291,101,1014,1138,81,0
23,14,1784,143,1035,565,78,0
24,20,1552,89,920,476,111,0
14,11,1091,36,662,390,28,0
52,43,2547,139,1498,892,113,0
69,46,2393,105,1545,775,83,0
8,3,478,29,253,196,11,0
1,0,138,3,80,50,6,0
5,3,494,25,298,149,30,0
54,46,4025,357,2171,1389,208,0
34,32,3388,196,2005,1187,66,0
0,0,8,0,4,4,0,0
0,0,163,6,97,48,12,0
21,6,677,34,527,82,61,0
2,2,567,44,353,174,0,0
5,10,380,2,159,204,30,0
2,5,246,2,99,135,17,0
0,0,4,0,2,2,0,0
18,17,1670,104,664,790,147,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
5,1,270,9,148,119,0,0
0,0,113,1,44,61,7,0
37,40,4120,178,1258,2429,332,0
39,37,2749,30,1449,1298,48,0
0,0,68,1,44,22,1,0
0,0,0,0,0,0,0,0
22,18,1245,0,495,745,45,0
26,28,1025,25,584,404,66,0
39,32,2859,369,941,1431,189,0
0,0,100,2,33,58,7,0
0,0,7,0,2,4,1,0
8,3,1201,177,615,276,144,0
29,43,1050,0,562,489,71,0
4,6,501,10,167,317,17,0
51,64,1700,50,620,1090,55,0
6,13,545,0,258,297,9,0
29,37,2921,381,1501,1001,104,0
3,6,211,8,110,91,11,0
26,24,1712,35,335,1298,94,0
1,1,74,0,18,50,8,0
40,117,1284,84,225,1120,12,0
6,10,1049,100,200,585,180,0
75,146,2769,170,547,2184,89,0
14,67,1678,0,197,1506,56,0
39,90,1587,30,333,1304,49,0
50,32,2964,138,1629,1022,257,0
0,0,0,0,0,0,0,0
30,67,1801,14,374,1502,8,0
23,75,1044,6,323,808,5,0
32,48,1369,10,379,1060,0,0
16,26,2603,170,1065,1340,70,0
31,18,1503,39,702,672,139,0
35,54,1963,27,514,1398,113,0
3,0,22,0,11,13,1,0
37,17,3287,100,1885,1042,314,0
26,28,2165,80,335,1625,179,0
31,42,2879,89,439,2358,66,0
16,17,864,73,369,419,36,0
38,29,4663,495,2305,1605,325,0
41,30,3303,274,1569,1337,194,0
26,37,1026,29,400,645,15,0
38,30,3639,191,881,2399,236,0
36,45,2364,141,899,1333,72,0
16,22,522,0,195,365,0,0
27,40,2111,125,551,1306,196,0
36,23,2112,169,472,1422,108,0
16,26,1576,45,501,991,81,0
24,39,1310,33,206,1107,27,0
28,69,1495,10,469,1075,38,0
44,99,1418,0,287,1222,52,0
35,66,1261,35,289,1003,35,0
35,107,2035,0,238,1905,34,0
20,27,1467,28,593,801,92,0
6,4,442,10,151,260,31,0
46,47,4390,172,1372,2681,258,0
23,75,2150,85,547,1486,130,0
32,20,1623,7,863,720,85,0
22,21,1696,37,328,1317,57,0
19,16,2617,438,1075,920,219,0
15,11,844,45,330,410,85,0
28,37,5275,265,2450,2000,625,0
23,17,2107,106,858,1060,123,0
35,39,2201,160,950,1055,110,0
39,42,2780,112,1477,1254,18,0
0,1,46,3,29,15,0,0
52,85,2176,94,1108,1103,8,0
3,10,401,33,178,197,6,0
1,0,0,0,0,0,0,1
50,71,1963,0,864,1191,29,0
30,47,1326,15,440,920,28,0
46,22,4300,358,2237,1578,195,0
77,128,2965,105,945,1945,175,0
70,125,2695,50,930,1865,45,0
59,80,3176,325,1700,1210,80,0
37,29,3180,147,1161,1753,185,0
19,39,1447,20,610,800,75,0
51,67,2342,0,865,1470,125,0
55,92,2684,35,440,2142,214,0
16,29,1404,0,339,1092,18,0
50,71,2230,15,580,1673,83,0
49,72,2751,40,1164,1539,129,0
69,119,3282,160,1210,1825,275,0
28,27,1379,15,605,765,49,0
28,58,2744,135,1136,1442,117,0
44,31,3085,20,1205,1755,180,0
22,38,2266,97,1004,1214,11,0
33,35,3746,60,1455,2090,209,0
23,29,1228,95,475,640,70,0
32,46,1236,0,320,907,87,0
13,19,1857,125,640,1105,19,0
26,40,2774,120,1043,1424,253,0
52,45,3170,83,676,2361,147,0
39,45,3796,410,1193,2163,114,0
11,8,765,3,125,627,29,0
31,51,2382,24,296,2087,57,0
65,80,4247,69,1119,2794,410,0
35,59,2484,61,759,1481,277,0
17,16,3685,492,1753,1224,249,0
42,58,2689,63,817,1781,128,0
0,0,0,0,0,0,0,0
0,0,6,0,1,5,0,0
28,32,1504,57,598,763,146,0
32,33,4128,170,1589,2147,287,0
26,40,3753,245,1675,1670,229,0
20,32,2681,69,957,1512,195,0
37,81,3323,236,1007,2175,23,0
5,3,1158,205,325,513,123,0
59,87,2784,175,850,1850,55,0
31,36,4025,378,1670,1937,107,0
25,25,1638,25,472,1135,56,0
20,21,1839,100,848,848,84,0
32,35,1242,145,300,835,29,0
51,39,3607,311,2134,1065,187,0
21,42,3137,345,1070,1685,100,0
1,0,0,0,0,0,0,1
24,25,2366,364,1238,665,148,0
12,9,1664,180,880,575,50,0
21,41,2261,57,676,1338,252,0
48,65,1611,30,495,1145,54,0
53,30,1728,42,1061,661,47,0
71,85,3268,14,949,2288,173,0
20,38,936,74,298,549,73,0
46,62,4672,579,2059,2052,90,0
53,60,3602,290,1925,1370,130,0
45,66,4083,382,1156,2348,308,0
49,35,2396,71,799,1515,95,0
5,2,1016,45,278,631,69,0
20,20,1890,99,797,937,97,0
33,18,2740,198,715,1637,241,0
0,0,9,0,2,6,1,0
28,23,809,16,282,533,29,0
30,34,3526,251,1542,1512,285,0
2,3,66,1,23,44,3,0
40,31,3366,304,1546,1505,82,0
12,43,1562,0,245,1300,72,0
0,0,0,0,0,0,0,0
19,16,2095,221,1111,693,105,0
0,0,0,0,0,0,0,0
21,30,3996,427,1797,1284,539,0
24,36,900,71,377,415,97,0
10,15,426,6,190,254,1,0
47,35,4020,320,1465,2129,188,0
0,0,60,0,7,51,2,0
26,20,2013,43,1172,735,109,0
8,5,486,27,290,154,28,0
34,35,2124,190,1088,820,95,0
1,1,0,0,0,0,0,2
17,22,1493,35,785,634,78,0
2,0,0,0,0,0,0,2
34,44,2548,164,739,1523,200,0
53,50,4243,605,1678,1934,129,0
57,56,2826,127,1286,1118,408,0
10,13,901,41,244,578,61,0
6,2,3546,620,1643,887,404,0
2,2,11,0,7,7,1,0
76,73,4983,242,1730,2803,357,0
24,16,2088,232,801,926,169,0
32,28,1885,83,678,1117,67,0
38,43,1787,138,391,1336,3,0
25,31,2213,155,529,1430,155,0
0,0,6,0,1,5,0,0
55,80,2679,139,836,1752,87,0
1,1,34,0,7,28,1,0
0,0,15,0,5,9,1,0
31,24,3206,711,962,1421,167,0
10,9,1519,47,598,776,117,0
43,31,4067,387,2373,1212,169,0
12,8,912,36,465,387,44,0
42,28,2471,148,623,1599,171,0
19,34,1704,39,487,1123,108,0
56,53,3786,149,934,2599,213,0
18,22,921,85,461,346,69,0
0,0,78,2,44,29,3,0
8,8,1038,93,473,396,92,0
2,1,201,4,65,121,14,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
6,4,528,44,281,160,53,0
40,52,2887,150,900,1465,464,0
59,48,2473,118,836,1545,81,0
12,12,416,0,115,290,35,0
0,2,2,0,0,3,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
20,21,1403,4,345,1080,15,0
43,23,1953,73,527,1216,203,0
14,23,846,0,443,386,54,0
0,0,28,1,11,13,3,0
3,1,519,11,153,302,57,0
1,1,21,2,10,9,2,0
0,0,6,1,3,2,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
9,17,687,45,259,362,47,0
0,0,0,0,0,0,0,0
0,0,73,2,24,42,5,0
3,4,175,0,25,147,10,0
22,27,1184,0,284,835,114,0
10,9,3199,703,1419,946,150,0
0,0,0,0,0,0,0,0
5,4,607,23,235,300,58,0
19,36,2799,138,829,1644,243,0
27,28,2439,143,729,1528,94,0
7,14,955,0,233,649,94,0
8,8,491,10,166,315,16,0
0,0,0,0,0,0,0,0
0,0,3,0,1,1,1,0
6,0,509,14,312,170,19,0
0,0,772,60,325,327,60,0
0,0,0,0,0,0,0,0
51,50,2459,115,890,1470,85,0
22,6,1304,200,1095,37,0,0
19,12,2010,678,1230,115,18,0
26,15,1290,266,797,259,9,0
40,25,2342,275,1533,557,42,0
11,8,869,40,553,278,17,0
8,2,3111,410,678,1627,406,0
16,21,839,68,369,371,68,0
